dataset,pred_len,pc_perm_entropy,pc_perm_entropy_std,pc_spec_entropy,pc_spec_entropy_std,pc_forecastability,ns_mean_drift,ns_var_drift,ns_range_drift,ns_adf_stat,ns_adf_pvalue,ns_adf_frac_nonstat,ch_eff_rank_ratio,ch_eig_top1_ratio,ch_eig_top5_ratio,ch_participation_ratio,ch_mean_abs_corr,ch_n_channels,fr_topk_energy,fr_dominant_period,fr_flatness,sd_trend_strength,sd_seasonal_strength,sd_acf1,sd_acf_e_folding,sd_acf_decay_rate,sd_period,sd_length,hz_pred_len,hz_ratio_seq,hz_mean_shift,hz_logvar_ratio,hz_acf_at_h,hz_long_range_energy,hz_h_over_period
ETTh1,96,0.9446289472430274,0.030230353715463884,0.5614642713093349,0.06111601302159586,0.43853572869066515,0.7514000388430279,0.22502855974476807,3.426598079980631,-11.217929938099143,0.0003220631612642733,0.0,0.5901926495931576,0.41726102450963964,0.9976873673678511,0.5074093006226228,0.3110131114794202,7.0,0.591998269539845,4320.5,0.04491600090923549,0.8752452559960237,0.6792238526051079,0.9323624710208895,0.5850000000000001,0.06098710144171116,24.0,8640.0,96.0,1.0,0.2454433139567382,0.008234245149516043,0.7095494321006263,0.6344977329659622,4.0
ETTh1,192,0.9446289472430274,0.030230353715463884,0.5614642713093349,0.06111601302159586,0.43853572869066515,0.7514000388430279,0.22502855974476807,3.426598079980631,-11.217929938099143,0.0003220631612642733,0.0,0.5901926495931576,0.41726102450963964,0.9976873673678511,0.5074093006226228,0.3110131114794202,7.0,0.591998269539845,4320.5,0.04491600090923549,0.8752452559960237,0.6792238526051079,0.9323624710208895,0.5850000000000001,0.06098710144171116,24.0,8640.0,192.0,2.0,0.2612969195940695,0.1526161585522922,0.6322354103727335,0.6022787192369624,8.0
ETTh1,336,0.9446289472430274,0.030230353715463884,0.5614642713093349,0.06111601302159586,0.43853572869066515,0.7514000388430279,0.22502855974476807,3.426598079980631,-11.217929938099143,0.0003220631612642733,0.0,0.5901926495931576,0.41726102450963964,0.9976873673678511,0.5074093006226228,0.3110131114794202,7.0,0.591998269539845,4320.5,0.04491600090923549,0.8752452559960237,0.6792238526051079,0.9323624710208895,0.5850000000000001,0.06098710144171116,24.0,8640.0,336.0,3.5,0.270977638367833,0.23595332812765135,0.5763393750366014,0.5749663930655994,14.0
ETTh1,720,0.9446289472430274,0.030230353715463884,0.5614642713093349,0.06111601302159586,0.43853572869066515,0.7514000388430279,0.22502855974476807,3.426598079980631,-11.217929938099143,0.0003220631612642733,0.0,0.5901926495931576,0.41726102450963964,0.9976873673678511,0.5074093006226228,0.3110131114794202,7.0,0.591998269539845,4320.5,0.04491600090923549,0.8752452559960237,0.6792238526051079,0.9323624710208895,0.5850000000000001,0.06098710144171116,24.0,8640.0,720.0,7.5,0.3427415092142084,0.36660966754161445,0.416286021567847,0.5322991491643951,30.0
ETTh2,96,0.8210835970168711,0.08566740639295088,0.6304369123149633,0.0773810314043791,0.36956308768503665,0.8672951232425177,0.5592498871180958,4.345702760794667,-6.186762520570434,0.01633885338073739,0.14285714285714285,0.5921370410874381,0.43722627039750284,0.971741370867716,0.4762604413250788,0.34882329798785106,7.0,0.6077193865387007,8641.0,0.03196610095559941,0.9511379759085615,0.5883324026713783,0.9569942451962283,0.7114285714285715,0.006174363698984453,24.0,8640.0,96.0,1.0,0.276115585817966,0.0070125534946190145,0.6516868993328753,0.8536153535471034,4.0
ETTh2,192,0.8210835970168711,0.08566740639295088,0.6304369123149633,0.0773810314043791,0.36956308768503665,0.8672951232425177,0.5592498871180958,4.345702760794667,-6.186762520570434,0.01633885338073739,0.14285714285714285,0.5921370410874381,0.43722627039750284,0.971741370867716,0.4762604413250788,0.34882329798785106,7.0,0.6077193865387007,8641.0,0.03196610095559941,0.9511379759085615,0.5883324026713783,0.9569942451962283,0.7114285714285715,0.006174363698984453,24.0,8640.0,192.0,2.0,0.29091909252358106,0.329355735858698,0.5636874718031148,0.7892990076244101,8.0
ETTh2,336,0.8210835970168711,0.08566740639295088,0.6304369123149633,0.0773810314043791,0.36956308768503665,0.8672951232425177,0.5592498871180958,4.345702760794667,-6.186762520570434,0.01633885338073739,0.14285714285714285,0.5921370410874381,0.43722627039750284,0.971741370867716,0.4762604413250788,0.34882329798785106,7.0,0.6077193865387007,8641.0,0.03196610095559941,0.9511379759085615,0.5883324026713783,0.9569942451962283,0.7114285714285715,0.006174363698984453,24.0,8640.0,336.0,3.5,0.31911193081328754,0.6636253119832741,0.47865799071546494,0.7329050945787067,14.0
ETTh2,720,0.8210835970168711,0.08566740639295088,0.6304369123149633,0.0773810314043791,0.36956308768503665,0.8672951232425177,0.5592498871180958,4.345702760794667,-6.186762520570434,0.01633885338073739,0.14285714285714285,0.5921370410874381,0.43722627039750284,0.971741370867716,0.4762604413250788,0.34882329798785106,7.0,0.6077193865387007,8641.0,0.03196610095559941,0.9511379759085615,0.5883324026713783,0.9569942451962283,0.7114285714285715,0.006174363698984453,24.0,8640.0,720.0,7.5,0.38581979012755074,1.188256541070377,0.27874083536070715,0.6571504727754801,30.0
ETTm1,96,0.9349505266052143,0.08223243641760487,0.42370254410932645,0.08578876160593554,0.5762974558906735,0.7987024384929783,0.951757861699004,4.309689746781927,-16.093971642732104,5.8527619674762755e-06,0.0,0.5669606845325763,0.45380676407644727,0.9979248608330734,0.47516133641587077,0.34953917805828466,7.0,0.5916920821160637,17280.5,0.020215007187868582,0.8757417199135163,0.6759166364284468,0.9767272233152333,0.6228571428571428,0.030094226938247527,96.0,34560.0,96.0,1.0,0.2685353622276011,0.0028884945475806363,0.766595245448974,0.778967193981817,1.0
ETTm1,192,0.9349505266052143,0.08223243641760487,0.42370254410932645,0.08578876160593554,0.5762974558906735,0.7987024384929783,0.951757861699004,4.309689746781927,-16.093971642732104,5.8527619674762755e-06,0.0,0.5669606845325763,0.45380676407644727,0.9979248608330734,0.47516133641587077,0.34953917805828466,7.0,0.5916920821160637,17280.5,0.020215007187868582,0.8757417199135163,0.6759166364284468,0.9767272233152333,0.6228571428571428,0.030094226938247527,96.0,34560.0,192.0,2.0,0.25240009542217395,0.4584763485721667,0.7635874861405832,0.6679037967528442,2.0
